word2,he,she,total,logratio,freq
snuggles,2.5096062149003688e-5,1.875830445770263e-4,43,2.901996517979367,7.474600734700257
giggles,1.4221101884435422e-4,7.659640986895241e-4,196,2.4292435208442362,5.386109352945775
squeals,3.9038318898450176e-5,1.9800432483130551e-4,50,2.342569109365349,5.072050498546605
sobs,1.0038424859601475e-4,4.4811505093400724e-4,120,2.1583362712391527,4.463997661001542
weeps,6.134592969756457e-5,2.5011072610270173e-4,68,2.027527400063226,4.077054946200141
blushes,8.923044319645755e-5,3.28270328009796e-4,93,1.8792764414792837,3.6789050491102833
clings,1.1432650534546124e-4,3.9600864966261103e-4,115,1.7923720268048688,3.463839364861095
rocks,5.855747834767527e-5,1.7716176432274705e-4,53,1.5971419364509465,3.0254336307120093
shrieks,1.1432650534546124e-4,3.334809681369356e-4,103,1.5444445133612836,2.9169173598830276
hugs,5.939401375264205e-4,0.0017299325222103535,543,1.5423263291004539,2.912637844977096
shrinks,4.7403672948118074e-5,1.354766433056301e-4,41,1.51497339487012,2.8579355750324518
gasps,4.7682518083107006e-4,0.0012766068311492068,414,1.42078194209604,2.6773058187157357
responds,2.0355694854191878e-4,5.419065732225204e-4,175,1.4126116772404422,2.6621865630439276
trembles,5.576902699778597e-5,1.4589792355990932e-4,46,1.3874233451496087,2.61611025714509
pets,5.0192124298007376e-5,1.302660031784905e-4,41,1.3759277063117796,2.5953474773264786
flinches,1.5336482424391142e-4,3.9600864966261103e-4,129,1.368564317898293,2.5821347992600887
arches,8.923044319645755e-5,2.2405752546700362e-4,73,1.3282612726814653,2.510998684313368
utters,5.298057564789667e-5,1.302660031784905e-4,42,1.2979251943105066,2.4587502416777167
shudders,1.3663411614457563e-4,3.28270328009796e-4,110,1.2645665973640754,2.402550236153654
startles,5.855747834767527e-5,1.406872834327697e-4,46,1.2645665973640754,2.402550236153654
buries,1.728839836931365e-4,4.116405700440299e-4,139,1.251580955769595,2.3810220082311306
swats,7.249973509712176e-5,1.7195112419560743e-4,57,1.2459509191967286,2.3717483100491203
murmurs,8.365354049667896e-5,1.9800432483130551e-4,66,1.2430334358144342,2.3669568993217482
resists,9.480734589623615e-5,2.2405752546700362e-4,75,1.2407984314311258,2.363292879353758
hovers,5.576902699778597e-5,1.302660031784905e-4,43,1.2239246128667294,2.3358127295938305
caresses,1.3663411614457563e-4,3.1263840762837714e-4,107,1.1941772694726773,2.288143082051099
awakens,8.365354049667896e-5,1.875830445770263e-4,64,1.165030923813161,2.2423802204100776
shivers,1.7009553234324722e-4,3.69955449026913e-4,130,1.121006299921163,2.1749862793595014
screams,0.0014332639938430993,0.0031003308756480732,1107,1.113117826980795,2.163126185382614
dances,2.007684971920295e-4,4.324831305525884e-4,153,1.1071109478839796,2.154138406180977
beats,9.201889454634685e-5,1.9800432483130551e-4,69,1.105529912064499,2.1517789993834073
absently,7.528818644701106e-5,1.615298439413282e-4,56,1.1013053262027739,2.145487247923222
flees,5.855747834767527e-5,1.2505536305135087e-4,43,1.094641595921763,2.1356002099143594
cleans,9.759579724612544e-5,1.9800432483130551e-4,71,1.020641014477986,2.0288201994186412
stirs,2.6769132958937264e-4,5.419065732225204e-4,198,1.0174737353993035,2.0243710323146535
straddles,7.528818644701106e-5,1.5110856368704895e-4,54,1.0050900109434708,2.0070687157991434
