word2,total,female_he,female_she,male_he,male_she,female_ratio,female_logratio,male_ratio,male_logratio
sobs,41,3.891504844923532e-5,3.5156799324989455e-4,1.4724572987383366e-4,6.279605237655924e-4,9.03424272254254,3.175403675110865,4.264711270769315,2.0924480715952622
hates,42,1.1674514534770595e-4,8.789199831247363e-4,4.0298831333891315e-4,4.961663397654064e-4,7.528535602118783,2.9123692692770713,1.2312176888070958,0.3000858640131312
giggles,55,2.334902906954119e-4,0.001476585571649557,1.7436994327164513e-4,0.0012946840428253571,6.323969905779778,2.6608305022811067,7.424926673333901,2.8923767782986003
ties,43,1.945752422461766e-4,9.843903810997047e-4,4.2623763910846585e-4,7.752599058834474e-4,5.059175924623823,2.3389024073937446,1.818844313010482,0.8630220584042881
buries,47,1.556601937969413e-4,7.73449585149768e-4,2.6349235872159707e-4,5.814449294125856e-4,4.968833497398396,2.3129071988608,2.2066861150494823,1.1418814313997647
sweeps,49,2.334902906954119e-4,0.001089860779074673,4.184878638519483e-4,4.1864034917706163e-4,4.6676920733136456,2.222709389889222,1.0003643721557653,5.255821542233446e-4
understands,67,1.945752422461766e-4,8.086063844747574e-4,4.533618525062773e-4,6.667235190597648e-4,4.155751652369569,2.0551094413931534,1.4706211282973642,0.5564256172729166
covers,114,4.280655329415885e-4,0.0016875263675994938,7.904770761647912e-4,0.0012714262456488539,3.942215006200381,1.9790064623073618,1.608428990524956,0.6856522448008114
barely,69,3.5023543604311786e-4,0.001160174377724652,4.533618525062773e-4,4.1088775011822716e-4,3.312555664932265,1.727944698139644,0.9063130209274455,-0.14191868286598208
came,122,2.334902906954119e-4,7.73449585149768e-4,0.001146966737964599,6.667235190597648e-4,3.312555664932265,1.727944698139644,0.581292810847269,-0.7826630287726286
simply,42,1.1674514534770595e-4,3.86724792574884e-4,5.424842679562292e-4,1.6280458023552397e-4,3.312555664932265,1.727944698139644,0.3001093116467296,-1.7364400120119827
sips,82,3.5023543604311786e-4,0.001089860779074673,6.742304473170278e-4,7.442495096481095e-4,3.1117947155424304,1.6377468891680655,1.1038503416891203,0.14254458702665115
tucks,58,1.945752422461766e-4,5.976655885248207e-4,4.7661117827583e-4,5.271767360007443e-4,3.0716425256644637,1.61901032658648,1.106093939944586,0.1454739180653227
